"State","Year","mortality"
"IL","2012",135.291288566243
"IL","2013",133.55335753176
"IL","2014",133.385843920145
"IL","2015",132.669328493648
"IL","2016",131.634845735027
"IL","2017",131.733756805808
"IL","2018",128.013793103448
"IL","2019",131.201996370236
"IN","1999",241.95875
"IN","2000",240.63125
"IN","2001",226.013125
"IN","2002",221.647291666667
"IN","2003",208.080833333333
"IN","2004",194.1725
"IN","2005",181.617708333333
"IN","2006",170.715416666667
"IN","2007",164.737916666667
"IN","2008",163.356458333333
"IN","2009",151.687083333333
"IN","2010",153.527291666667
"IN","2011",150.522708333333
"IN","2012",146.545
"IN","2013",140.39375
"IN","2014",139.105208333333
"IN","2015",135.416458333333
"IN","2016",136.533541666667
"IN","2017",135.166875
"IN","2018",132.128333333333
"IN","2019",136.01125
"KS","1999",203.951746724891
"KS","2000",204.96288209607
"KS","2001",201.050655021834
"KS","2002",202.928165938865
"KS","2003",190.963318777293
"KS","2004",175.686244541485
"KS","2005",168.662663755459
"KS","2006",160.562663755459
"KS","2007",158.46943231441
"KS","2008",158.432969432314
"KS","2009",145.919868995633
"KS","2010",142.398471615721
"KS","2011",136.411572052402
"KS","2012",134.752401746725
"KS","2013",131.75327510917
"KS","2014",133.334934497817
"KS","2015",129.17423580786
"KS","2016",125.284716157205
"KS","2017",126.096288209607
"KS","2018",119.602620087336
"KS","2019",116.444323144105
"KY","1999",246.21985428051
"KY","2000",238.584335154827
"KY","2001",228.262841530055
"KY","2002",228.071402550091
"KY","2003",217.261930783242
"KY","2004",201.359744990893
"KY","2005",194.089253187614
"KY","2006",182.607468123862
"KY","2007",179.780692167577
"KY","2008",177.044626593807
"KY","2009",166.088524590164
"KY","2010",162.250637522769
"KY","2011",158.833333333333
"KY","2012",158.396174863388
"KY","2013",154.106010928962
"KY","2014",152.952459016393
"KY","2015",150.874499089253
"KY","2016",148.642258652095
"KY","2017",146.516393442623
"KY","2018",147.651730418944
"KY","2019",147.126775956284
"LA","1999",228.518881118881
"LA","2000",223.222144522145
"LA","2001",223.473426573427
"LA","2002",222.279254079254
"LA","2003",212.336596736597
"LA","2004",200.524242424242
"LA","2005",192.575757575758
"LA","2006",182.474125874126
"LA","2007",176.3337995338
"LA","2008",168.247086247086
"LA","2009",157.378321678322
"LA","2010",155.579953379953
"LA","2011",153.449417249417
"LA","2012",149.626806526807
"LA","2013",151.118648018648
"LA","2014",152.683216783217
"LA","2015",154.649184149184
"LA","2016",154.361305361305
"LA","2017",156.045920745921
"LA","2018",157.245454545455
"LA","2019",152.732400932401
"MA","1999",167.8792
"MA","2000",171.6544
"MA","2001",165.3616
"MA","2002",163.312
"MA","2003",157.096
"MA","2004",147.9984
"MA","2005",134.2248
"MA","2006",128.16
"MA","2007",122.3752
"MA","2008",116.5968
"MA","2009",108.004
"MA","2010",106.1112
"MA","2011",102.476
"MA","2012",97.4704
"MA","2013",95.4424
"MA","2014",96.608
"MA","2015",96.6568
"MA","2016",95.0472
"MA","2017",94.5296
"MA","2018",95.4424
"MA","2019",95.3608
"MD","1999",197.431
"MD","2000",201.4965
"MD","2001",193.939
"MD","2002",186.6715
"MD","2003",178.5135
"MD","2004",166.106
"MD","2005",154.8905
"MD","2006",143.2815
"MD","2007",140.19
"MD","2008",134.1395
"MD","2009",131.5525
"MD","2010",127.5925
"MD","2011",125.293
"MD","2012",121.5735
"MD","2013",116.001
"MD","2014",122.603
"MD","2015",129.7745
"MD","2016",130.2
"MD","2017",133.296
"MD","2018",134.253
"MD","2019",136.706
"ME","1999",201.070886075949
"ME","2000",190.878481012658
"ME","2001",183.675949367089
"ME","2002",181.825316455696
"ME","2003",178.316455696203
"ME","2004",176.396202531646
"ME","2005",149.716455696203
"ME","2006",140.208860759494
"ME","2007",139.059493670886
"ME","2008",136.232911392405
"ME","2009",128.192405063291
"ME","2010",123.048101265823
"ME","2011",119.956962025316
"ME","2012",113.793670886076
"ME","2013",113.043037974684
"ME","2014",111.762025316456
"ME","2015",111.756962025316
"ME","2016",116.255696202532
"ME","2017",121.439240506329
"ME","2018",115.307594936709
"ME","2019",105.348101265823
"MI","1999",214.310147991543
"MI","2000",211.561945031712
"MI","2001",202.624735729387
"MI","2002",201.278012684989
"MI","2003",189.324312896406
"MI","2004",181.072727272727
"MI","2005",169.62156448203
"MI","2006",153.66934460888
"MI","2007",152.331078224101
"MI","2008",151.826849894292
"MI","2009",138.705919661734
"MI","2010",136.256025369979
"MI","2011",132.967653276956
"MI","2012",127.109302325581
"MI","2013",127.106553911205
"MI","2014",126.175052854123
"MI","2015",125.464482029598
"MI","2016",127.968710359408
"MI","2017",133.783932346723
"MI","2018",136.388794926004
"MI","2019",133.945243128964
"MN","1999",204.710550458716
"MN","2000",190.459403669725
"MN","2001",187.724541284404
